Front	Back
Their opinions differ about that plan	Pendapat mereka berbeda tentang rencana itu
He informed me yesterday	Dia memberi tahu saya kemarin
Is that bottle already full?	Apakah botol itu sudah penuh?
He is still pursuing his dream	Dia masih mengejar mimpinya
I dreamed about the sea last night	Aku bermimpi tentang laut tadi malam
There is no plan that is truly perfect	Tidak ada rencana yang benar-benar sempurna
We need to adjust tomorrow's schedule	Kami perlu menyesuaikan jadwal besok
Has the meeting schedule already changed?	Apakah jadwal rapat sudah berubah?
He finally found the answer	Dia akhirnya menemukan jawabannya
We eat first before leaving	Kita makan dulu sebelum berangkat
That bus departs at seven	Bus itu berangkat pukul tujuh
That train arrives at eight o’clock	Kereta itu tiba pukul delapan
Has he truly already left?	Apakah dia benar-benar sudah pergi?
Why is that story this strange?	Mengapa cerita itu seaneh ini?
We are currently resolving a big problem	Kami sedang menyelesaikan masalah besar
I forgot his or her name this morning	Saya lupa namanya tadi pagi
I will always love you	Aku akan selalu sayang padamu
Unfortunately we still don't have enough time	Sayangnya kami belum punya cukup waktu
Unfortunately my plan failed today	Malangnya rencanaku gagal hari ini
Why did that project fail yesterday?	Kenapa proyek itu gagal kemarin?
He has been unfortunate since losing his job	Ia malang sejak kehilangan pekerjaannya
Since when have you lived here?	Sejak kapan kamu tinggal di sini?
When will you return to Jakarta?	Kapan kamu akan kembali ke Jakarta?
He will return tomorrow morning	Dia akan kembali besok pagi
He has not lost hope until now	Dia belum kehilangan harapan sampai sekarang
We waited until the rain stopped	Kami menunggu sampai hujan berhenti
Will we meet again tomorrow?	Apakah kita akan jumpa lagi besok?
Is there still hope for us?	Apakah masih ada harapan bagi kita?
I have not eaten breakfast this morning	Aku belum sarapan pagi ini
We will talk later tonight	Kita akan bicara nanti malam
I want to go but it is raining	Aku ingin pergi namun hujan turun
The rain has not stopped since morning	Hujan belum berhenti sejak pagi
That bus stopped in front of the school	Bus itu berhenti di depan sekolah
Is your car parked in front of the house?	Apakah mobilmu parkir di depan rumah?
We will move house next year	Kami akan pindah rumah tahun depan
I have not gone home since yesterday	Aku belum pulang sejak kemarin
When did you move to this city?	Kapan kamu pindah ke kota ini?
Why has he not gone home tonight?	Kenapa dia belum pulang malam ini?
He had already eaten before leaving for work	Dia sudah makan sebelum berangkat kerja
Why does he look strange today?	Kenapa dia terlihat aneh hari ini?
Today feels very long	Hari ini terasa sangat panjang
This tea is still warm now	Teh ini masih hangat sekarang
Do you still work there?	Apakah kamu masih bekerja di sana?
He is making warm tea	Dia sedang membuat teh hangat
He is not angry with you now	Dia tidak marah padamu sekarang
Is that ticket still cheap now?	Apakah tiket itu masih murah sekarang?
Now I am studying Indonesian	Sekarang aku sedang belajar bahasa Indonesia
We have already waited ten minutes	Kami sudah menunggu sepuluh menit
I am waiting for a friend at the café	Aku sedang menunggu teman di kafe
I have not drunk coffee today	Aku belum minum kopi hari ini
Has he not arrived today yet?	Apakah dia belum datang hari ini?
He did not come to the meeting yesterday	Dia tidak datang ke rapat kemarin
Yesterday I met my old friend	Kemarin aku bertemu teman lamaku
Tomorrow we will leave earlier	Besok kami akan berangkat lebih awal
Did the meeting start earlier?	Apakah rapat dimulai lebih awal?
The match will begin very soon	Pertandingan akan dimulai sebentar lagi
We start studying after eating	Kami mulai belajar setelah makan
Wait a moment, I am making a call	Tunggu sebentar, aku sedang menelepon
He will call his mother later	Dia akan menelepon ibunya nanti
My mother has not called since yesterday	Ibuku belum menelepon sejak kemarin
Are you a user of this app?	Apakah kamu pengguna aplikasi ini?
Father is reading the newspaper this morning	Ayah sedang membaca koran pagi ini
I have not read the newspaper today	Saya belum membaca koran hari ini
Have you ever seen snow?	Apakah kamu pernah melihat salju?
I have seen a whale in the sea	Saya pernah melihat paus di laut
We have never seen a wild whale	Kami belum pernah melihat paus liar
That dog is not wild now	Anjing itu tidak liar sekarang
Will your dog wait at home?	Apakah anjingmu akan menunggu di rumah?
He is waiting for the bus at the stop	Dia sedang menunggu bus di halte
That bus does not stop at the bus stop	Bus itu tidak berhenti di halte
Why did that car suddenly stop?	Mengapa mobil itu tiba-tiba berhenti?
The lights suddenly went out during dinner	Lampu tiba-tiba padam saat makan malam
We will arrive before the sun rises	Kami akan tiba sebelum matahari terbit
Finish this report before the meeting starts	Selesaikan laporan ini sebelum rapat dimulai
Has your work finished today?	Apakah pekerjaanmu sudah selesai hari ini?
He has not sent the monthly report	Dia belum mengirim laporan bulanan
This work will finish tomorrow	Pekerjaan ini akan selesai besok
I will not send another message	Saya tidak akan mengirim pesan lagi
Have you received that package?	Apakah kamu sudah menerima paket itu?
The package has not arrived at the office	Paket itu belum tiba di kantor
Father will work at the office tomorrow	Ayah akan bekerja di kantor besok
We once saw an orca in the sea	Kami pernah melihat orca di laut
Will the sea be calm tonight?	Apakah laut akan tenang malam ini?
That child is not calm during the exam	Anak itu tidak tenang saat ujian
The final exam will start tomorrow	Ujian akhir akan dimulai besok
Why did you start the work too early?	Mengapa kamu memulai pekerjaan terlalu pagi?
This coffee is too hot to drink	Kopi ini terlalu panas untuk diminum
That water must not be drunk now	Air itu tidak boleh diminum sekarang
He rarely drinks coffee at night	Dia jarang meminum kopi malam hari
I rarely watch television now	Saya jarang menonton televisi sekarang
He often talks about his childhood	Dia sering bercerita tentang masa kecilnya
We are telling stories about an old trip	Kami sedang bercerita tentang perjalanan lama
Has that difficult time already ended?	Apakah masa sulit itu sudah berakhir?
I have not forgotten my childhood	Aku belum melupakan masa kecil
He will not forget that promise	Dia tidak akan melupakan janji itu
Has he ever broken a promise?	Apakah dia pernah melanggar janji?
I did not promise to come tomorrow	Aku tidak berjanji datang besok
He has broken the school rules	Dia sudah melanggar aturan sekolah
Is that child attending school now?	Apakah anak itu sedang sekolah sekarang?
That child will study alone	Anak itu akan belajar sendiri
I am eating alone today	Saya sedang makan sendiri hari ini
Today I have not received any news	Hari ini aku belum menerima kabar
Will you accept that offer?	Apakah kamu akan menerima tawaran itu?
That news does not sound right	Kabar itu tidak terdengar benar
He is considering a new offer	Dia sedang mempertimbangkan tawaran baru
Does my voice sound clear there?	Apakah suaraku terdengar jelas di sana?
We will consider all possibilities	Kami akan mempertimbangkan semua kemungkinan
Was that possibility ever considered before?	Apakah kemungkinan itu pernah dipikirkan sebelumnya?
That problem has not been seriously thought about	Masalah itu belum dipikirkan serius
Are you serious about this plan?	Apakah kamu serius tentang rencana ini?
We cannot buy all the items	Kami tidak bisa membeli semua barang
I have never heard that voice	Suara itu belum pernah saya dengar
I did not hear you earlier	Aku tidak dengar kamu tadi
Why does your butt hurt today?	Kenapa pantatmu sakit hari ini?
That child is still sick today	Anak itu masih sakit hari ini
Does that penis feel painful?	Apakah penis itu terasa sakit?
The doctor examines the patient's vaginal health	Dokter memeriksa kesehatan vagina pasien
The doctor is examining the test results	Dokter sedang memeriksa hasil tes
We are maintaining the family's health	Kami sedang menjaga kesehatan keluarga
He does not keep that secret	Dia tidak menjaga rahasia itu
I have already received good news	Saya sudah menerima kabar baik
Will you accept that offer?	Apakah kamu akan terima tawaran itu?
He is sending an important message	Dia sedang mengirim pesan penting
I have not read that message yet	Saya belum membaca pesan itu
Is that volcano still active?	Apakah gunung berapi itu masih aktif?
His eyes burned when hearing that news	Matanya berapi saat mendengar kabar itu
Why do your eyes look very tired?	Mengapa mata kamu terlihat sangat lelah?
That problem has not appeared clearly yet	Masalah itu belum terlihat jelas
I will solve this problem tomorrow	Aku akan menyelesaikan masalah ini besok
Will you go tomorrow?	Apakah kamu akan pergi besok?
I did not go to the office yesterday	Aku tidak pergi ke kantor kemarin
Did you eat yesterday?	Apakah kemarin kamu makan?
Why does your nose feel very cold?	Mengapa hidungmu terasa sangat dingin?
The air this morning feels very cold	Udara pagi ini terasa sangat dingin
Why is this water still hot?	Mengapa air ini masih panas?
I have not drunk milk today	Aku belum minum susu hari ini
That water does not feel cold	Air itu tidak terasa dingin
Why does this room feel very cramped?	Mengapa ruangan ini terasa sangat sempit?
I feel calmer now	Aku merasa lebih tenang sekarang
This road is too narrow for cars	Jalan ini terlalu sempit untuk mobil
This room has not been cleaned today	Ruangan ini belum dibersihkan hari ini
I will clean the kitchen later	Aku akan membersihkan dapur nanti
Can we talk later?	Apakah kita bisa bicara nanti?
That kitchen does not look clean	Dapur itu tidak terlihat bersih
This floor has not been cleaned since morning	Lantai ini belum dibersihkan sejak pagi
Why does this floor feel slippery?	Mengapa lantai ini terasa licin?
That road became slippery after the rain	Jalan itu menjadi licin setelah hujan
I will call you after eating	Aku akan meneleponmu setelah makan
A small problem can become big	Masalah kecil bisa menjadi besar
That bag is too big for me	Tas itu terlalu besar untukku
Is this room too small?	Apakah kamar ini terlalu kecil?
I have not tidied the room today	Aku belum merapikan kamar hari ini
Mount Merapi is currently very active	Gunung Merapi sedang sangat aktif
I am tidying the work desk	Aku sedang merapikan meja kerja
That table has not been tidied since morning	Meja itu belum dirapikan sejak pagi
Is this table too heavy?	Apakah meja ini terlalu berat?
This bag is not too heavy	Tas ini tidak terlalu berat
Why does your body feel very tired?	Mengapa badanmu terasa sangat lelah?
This item is not mine	Barang ini bukan milik aku
Does that car belong to you?	Apakah mobil itu milik kamu?
I do not have enough time	Aku tidak memiliki cukup waktu
Is this money enough to eat?	Apakah uang ini cukup untuk makan?
Have you ever seen a bear?	Apakah kamu pernah melihat beruang?
I have not received that money yet	Aku belum menerima uang itu
I almost arrived late to the office	Aku hampir terlambat ke kantor
Why are you late today?	Mengapa kamu terlambat hari ini?
The milk in the fridge is already finished	Susu di kulkas sudah habis
Why is that refrigerator not cold?	Mengapa kulkas itu tidak dingin?
I will use the oven later	Aku akan menggunakan oven nanti
Is that stove still hot?	Apakah kompor itu masih panas?
Does he have a new plan?	Apakah dia memiliki rencana baru?
I do not have a plan for tomorrow yet	Aku belum punya rencana untuk besok
He or she is waiting outside	Dia sedang menunggu di luar
The air outside feels very fresh	Udara di luar terasa sangat segar
This drink does not taste fresh	Minuman ini tidak terasa segar
This medicine must be taken before eating	Obat ini harus diminum sebelum makan
I have not taken medicine today	Aku belum minum obat hari ini
This food tastes too salty	Makanan ini terasa terlalu asin
That cake has been eaten by my younger sibling	Kue itu sudah dimakan adikku
My younger sibling has not returned from school	Adikku belum pulang dari sekolah
Does your sibling live here?	Apakah saudaramu tinggal di sini?
I want to go, however it is raining	Aku ingin pergi, namun hujan turun
Finally I found that key	Akhirnya aku menemukan kunci itu
I did not find my wallet earlier	Aku tidak menemukan dompetku tadi
Did you see my car key?	Apakah kamu melihat kunci mobilku?
That wallet almost fell earlier	Dompet itu hampir jatuh tadi
I once fell from a bicycle	Aku pernah jatuh dari sepeda
That bicycle has not been repaired since yesterday	Sepeda itu belum diperbaiki sejak kemarin
I will repair that bicycle tomorrow	Aku akan memperbaiki sepeda itu besok
This door has not been repaired by the worker	Pintu ini belum diperbaiki oleh tukang
That craftsman is repairing the roof	Tukang itu sedang memperbaiki atap
Has your house roof ever leaked?	Apakah atap rumahmu pernah bocor?
That pipe started leaking earlier this morning	Pipa itu mulai bocor tadi pagi
Why is that door not tightly closed?	Mengapa pintu itu tidak tertutup rapat?
The main road is closed because of flooding	Jalan utama tertutup karena banjir
Please close the window before sleeping	Tolong tutup jendela sebelum tidur
Please do not touch that item	Tolong jangan sentuh barang itu
This is not the main reason I left	Ini bukan alasan utama aku pergi
Does this area often get floods?	Apakah daerah ini sering terkena banjir?
Our house was affected by flooding last night	Rumah kami terkena banjir semalam
Last night I almost did not sleep	Semalam aku hampir tidak tidur
That restaurant is already famous in the city	Restoran itu sudah terkenal di kota
Why is that market very crowded?	Mengapa pasar itu sangat ramai?
They decided to divorce last year	Mereka memutuskan untuk cerai tahun lalu
The sky this morning looks very bright	Langit pagi ini terlihat sangat cerah
Has he already met his wife?	Apakah dia sudah bertemu istrinya?
I do not know the meaning of that word	Aku tidak tahu artinya kata itu
Do you know the answer?	Apakah kamu tahu jawabannya?
I do not yet understand the meaning of that sentence	Aku belum mengerti arti kalimat itu
That sentence sounds very strange	Kalimat itu terdengar sangat aneh
I will search for that address later	Aku akan cari alamat itu nanti
If it rains, I will still go	Jika hujan turun, aku tetap pergi
I have not found his house address yet	Aku belum menemukan alamat rumahnya
Do you want tea or coffee?	Kamu ingin teh atau kopi?
The price of that bag is almost one million	Harga tas itu hampir seribu ribu
I paid only one thousand rupiah	Aku membayar seribu rupiah saja
I have not paid the electricity bill	Aku belum membayar tagihan listrik
That price is too expensive for me	Harga itu terlalu mahal untukku
This bill must be paid today	Tagihan ini harus dibayar hari ini
Why is the electricity in the house out?	Mengapa listrik di rumah mati?
That movie has not been watched by me	Film itu belum ditonton oleh aku
The book that I am looking for is not here yet	Buku yang aku cari belum ada
My house is near the station	Rumahku dekat dengan stasiun
I spoke with him earlier	Aku berbicara dengan dia tadi
That station is not too far	Stasiun itu tidak terlalu jauh
This bag is too heavy to carry	Tas ini terlalu berat untuk dibawa
That car stopped in front of the house	Mobil itu berhenti di depan rumah
I will move house next year	Aku akan pindah rumah tahun depan
He knocked on the door, then entered	Dia mengetuk pintu, lalu masuk
Who knocked on the door earlier?	Siapa yang mengetuk pintu tadi?
I did not enter the office today	Aku tidak masuk kantor hari ini
My child is very interested in science	Anakku sangat tertarik pada sains
I rarely use that application	Aku jarang menggunakan aplikasi itu
Besides coffee, I also drink tea	Selain kopi, aku juga minum teh
The theory of evolution is still studied by scientists	Teori evolusi masih dipelajari para ilmuwan
This language is being studied by many people	Bahasa ini sedang dipelajari banyak orang
Has anyone ever lived here?	Adakah seseorang pernah tinggal di sini?
Will you come tomorrow?	Adakah kamu akan datang besok?
Is there another road to the market?	Adakah jalan lain menuju pasar?
Has he or she already read your message?	Adakah dia sudah membaca pesanmu?
Is there a reason you rejected that offer?	Adakah alasan kamu menolak tawaran itu?
I will not reject your help	Aku tidak akan menolak bantuanmu
We are walking toward the station	Kami sedang berjalan menuju stasiun
Someone is waiting outside	Seseorang sedang menunggu di luar
I want to improve my language ability	Aku ingin meningkatkan kemampuan bahasaku
Her cooking ability is getting better now	Kemampuan memasaknya semakin baik sekarang
House prices are increasingly expensive this year	Harga rumah semakin mahal tahun ini
I once lived in a small town	Aku pernah tinggal di kota kecil
Why is that restaurant very expensive?	Mengapa restoran itu sangat mahal?
I want to live healthier starting now	Aku ingin hidup lebih sehat mulai sekarang
That mountain view is truly amazing	Pemandangan gunung itu benar-benar luar biasa
That sea view is very amazing	Pemandangan laut itu sangat menakjubkan
The view from that hill is very beautiful	Pemandangan dari bukit itu sangat indah
Is this beach still beautiful now?	Apakah pantai ini masih indah sekarang?
Tomorrow I will climb this mountain	Besok aku akan mendaki gunung ini
Has that theory ever been tested by scientists?	Apakah teori itu pernah diuji ilmuwan?
This theory has not been tested scientifically	Teori ini belum diuji secara ilmiah
Will scientists test the new theory?	Apakah ilmuwan akan menguji teori baru?
I was born in a small city	Aku lahir di kota kecil
I do not yet know that baby's birth	Aku belum tahu lahirnya bayi itu
Has the baby already fallen asleep?	Apakah bayi itu sudah tidur?
I did not pass the selection yesterday	Aku tidak lolos seleksi kemarin
I have not passed that exam yet	Aku belum lulus ujian itu
Did he pass the selection this year?	Apakah dia lolos seleksi tahun ini?
I want to live close to nature	Aku ingin hidup dekat dengan alam
My house is not close to the station	Rumahku tidak dekat dengan stasiun
That baby is sleeping now	Bayi itu sedang tidur sekarang
Has the baby already fallen asleep soundly?	Apakah bayi itu sudah tidur nyenyak?
Is this the main goal of your trip?	Apakah ini tujuan utama perjalananmu?
I will reach that goal one day	Aku akan mencapai tujuan itu suatu hari
We finally reached the mountain summit	Kami akhirnya mencapai puncak gunung
Have you already seen that peak?	Apakah kamu sudah melihat puncak itu?
One day I will return	Suatu hari aku akan kembali
He never talks about religion at the office	Dia tidak pernah membicarakan agama di kantor
Why were they talking about my problem earlier?	Mengapa mereka membicarakan masalahku tadi?
I have not said anything to him yet	Aku belum bilang apa pun padanya
I do not see anything here	Aku tidak melihat apa pun di sini
Is somebody looking for me outside?	Apakah seseorang sedang mencariku di luar?
I am looking for something in the bag	Aku sedang mencari sesuatu di tas
Is there anybody at home?	Apakah ada siapa pun di rumah?
I do not have any plans	Aku tidak punya rencana apa pun
You may choose anything later	Kamu boleh memilih apa saja nanti
May I enter now?	Apakah aku boleh masuk sekarang?
I do not want to choose that path	Aku tidak ingin memilih jalan itu
Do you have another plan?	Apakah kamu punya rencana lain?
I will try another one later	Aku akan mencoba yang lain nanti
I am trying to understand this problem	Aku sedang mencoba memahami masalah ini
I have not yet understood what you meant earlier	Aku belum memahami maksudmu tadi
What did your question mean earlier?	Apa maksud pertanyaanmu tadi?
Does this mean we must leave?	Apakah ini berarti kita harus pergi?
He has not answered that question yet	Dia belum menjawab pertanyaan itu
Do I have to leave now?	Apakah aku harus pergi sekarang?
Yesterday I had to work until night	Kemarin aku harus bekerja sampai malam
Yesterday we waited until night	Kemarin kami menunggu sampai malam
I used to live in a small village	Dulu aku tinggal di desa kecil
Back then I was ten years old	Dulu aku berumur sepuluh tahun
I did not like coffee before	Dulu aku tidak suka kopi
Yesterday the sky looked very bright	Kemarin langit terlihat sangat cerah
Earlier tonight I saw many stars	Tadi malam aku melihat banyak bintang
Last night we studied the Orion constellation	Semalam kami mempelajari rasi bintang Orion
I only have one chance	Aku hanya punya satu kesempatan
I have not eaten twice today	Aku belum makan dua kali hari ini
Have you already read three messages?	Apakah kamu sudah membaca tiga pesan?
I will stay four more days	Aku akan tinggal empat hari lagi
I no longer have five reasons	Aku tidak punya lima alasan lagi
Has he already waited six hours?	Apakah dia sudah menunggu enam jam?
I once saw seven bright stars	Aku pernah melihat tujuh bintang terang
I will not wait eight minutes	Aku tidak akan menunggu delapan menit
Have you ever read nine books?	Apakah kamu pernah membaca sembilan buku?
I have already walked ten kilometers	Aku sudah berjalan sepuluh kilometer
I just started studying today	Aku baru mulai belajar hari ini
This language is not the standard form	Bahasa ini bukan bentuk baku
Did that cloud shape change?	Apakah bentuk awan itu berubah?
Dark clouds are covering the sun	Awan gelap sedang menutup matahari
Will the sky become dark?	Apakah langit akan menjadi gelap?
I have not bought a new dictionary	Aku belum membeli kamus baru
Is that word still often used?	Apakah kata itu masih sering dipakai?
I will move to another city	Aku akan pindah ke kota lain
I do not eat usual food	Aku tidak makan makanan biasa
Is that question still difficult for you?	Apakah soal itu masih sulit bagimu?
I am thinking about one question	Aku sedang memikirkan satu soal
Does he still look young?	Apakah dia masih terlihat muda?
I am thinking about a new plan	Aku sedang memikirkan rencana baru
I never forget that promise	Aku tidak pernah melupakan janji itu
He is not a new person here	Dia bukan orang baru di sini
That kitten looks very cute	Anak kucing itu terlihat sangat imut
I do not consider that funny	Aku tidak menganggap itu lucu
Do you consider that important?	Apakah kamu menganggap itu penting?
She once looked very beautiful	Dia pernah terlihat sangat cantik
Do you like eating nuts?	Apakah kamu suka makan kacang?
He finally received recognition for his work	Dia akhirnya mendapat pengakuan atas karyanya
Has he already given acknowledgement of the mistake?	Apakah dia sudah memberi pengakuan kesalahan?
Tomorrow the manager will give an appraisal of my work	Besok manajer akan memberi penilaian kerjaku
I haven't used dental floss today	Aku belum memakai benang gigi hari ini
Was this table polished yesterday?	Apakah meja ini sudah dipoles kemarin?
They will revamp the old system	Mereka akan merombak sistem lama
I am typing an important report	Aku sedang mengetik laporan penting
I have not mastered that expertise	Keahlian itu belum aku kuasai
I have not mastered this technique	Aku belum kuasai teknik ini
Is this technique often used?	Apakah teknik ini sering dipakai?
I often eat at that food stall	Aku sering makan di warung itu
That stall has not opened today	Kios itu belum buka hari ini
Does this kiosk sell SIM cards?	Apakah kios ini menjual kartu SIM?
I haven't bought soy sauce today	Aku belum beli kecap hari ini
Have you already cut the onion?	Apakah kamu sudah memotong bawang?
I once rode a horse in the village	Aku pernah menunggang kuda di desa
I am running toward the bus stop	Aku sedang berlari menuju halte
I will ride a horse tomorrow morning	Aku akan menunggang kuda besok pagi
I do not believe that deception	Aku tidak percaya tipuan itu
Do you believe my story yesterday?	Apakah kamu percaya ceritaku kemarin?
He is a scammer, I will not believe	Dia penipu, aku tidak akan percaya
I almost arrived late this morning	Aku hampir terlambat tadi pagi
I am exercising in the park	Aku sedang olahraga di taman
Have you already exercised this morning?	Apakah kamu sudah berolahraga pagi ini?
I have not practiced today	Aku belum berlatih hari ini
I have already tried three times	Aku sudah mencoba tiga kali
Will I get another opportunity?	Apakah aku akan mendapat kesempatan lagi?
